Date,Year,Pump sets,Cumulative pump sets energized,Groundwater_Level,Average Rainfall (mm),POPULATION,RURAL_POPULATION,URBAN_POPULATION,GROWTH_RATE_PERCENT
2000-05-16,2000,198710.24043715847,12941606.032786883,19.36,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-17,2000,199228.4480874317,12942474.606557377,19.57,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-18,2000,199746.6557377049,12943343.180327868,19.56,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-19,2000,200264.86338797817,12944211.75409836,19.18,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-20,2000,200783.0710382514,12945080.327868853,19.13,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-21,2000,201301.27868852465,12945948.901639344,18.93,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-22,2000,201819.48633879784,12946817.475409836,19.77,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-23,2000,202337.69398907103,12947686.049180329,18.86,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-24,2000,202855.9016393443,12948554.62295082,19.77,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-25,2000,203374.1092896175,12949423.196721312,19.7,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-26,2000,203892.31693989076,12950291.770491805,19.24,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-27,2000,204410.524590164,12951160.344262294,19.49,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-28,2000,204928.7322404372,12952028.918032788,19.78,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-29,2000,205446.9398907104,12952897.49180328,19.38,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-30,2000,205965.14754098363,12953766.06557377,19.61,0.0,2459676.0,502757.0,1956918.0,18.59
2000-05-31,2000,206483.35519125685,12954634.639344262,19.08,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-01,2000,207001.56284153007,12955503.213114752,17.56,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-02,2000,207519.7704918033,12956371.786885248,17.6,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-03,2000,208037.9781420765,12957240.360655738,17.4,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-04,2000,208556.18579234972,12958108.93442623,17.47,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-05,2000,209074.39344262297,12958977.50819672,17.58,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-06,2000,209592.6010928962,12959846.081967212,17.36,24.0,2459676.0,502757.0,1956918.0,18.59
2000-06-07,2000,210110.8087431694,12960714.655737706,17.32,26.0,2459676.0,502757.0,1956918.0,18.59
2000-06-08,2000,210629.01639344264,12961583.229508195,17.43,26.8,2459676.0,502757.0,1956918.0,18.59
2000-06-09,2000,211147.22404371583,12962451.803278688,17.47,36.0,2459676.0,502757.0,1956918.0,18.59
2000-06-10,2000,211665.43169398909,12963320.37704918,17.46,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-11,2000,212183.6393442623,12964188.950819671,17.28,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-12,2000,212701.84699453556,12965057.524590164,17.47,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-13,2000,213220.0546448088,12965926.098360656,17.19,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-14,2000,213738.262295082,12966794.672131147,17.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-15,2000,214256.4699453552,12967663.24590164,17.72,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-16,2000,214774.67759562843,12968531.819672132,17.15,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-17,2000,215292.88524590165,12969400.393442623,17.24,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-18,2000,215811.09289617487,12970268.967213117,17.58,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-19,2000,216329.3005464481,12971137.540983606,17.65,8.0,2459676.0,502757.0,1956918.0,18.59
2000-06-20,2000,216847.5081967213,12972006.114754098,17.52,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-21,2000,217365.7158469945,12972874.68852459,16.77,5.2,2459676.0,502757.0,1956918.0,18.59
2000-06-22,2000,217883.92349726777,12973743.262295082,17.38,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-23,2000,218402.131147541,12974611.836065574,17.47,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-24,2000,218920.3387978142,12975480.409836063,17.94,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-25,2000,219438.54644808744,12976348.983606558,17.33,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-26,2000,219956.75409836063,12977217.55737705,17.57,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-27,2000,220474.96174863388,12978086.13114754,17.6,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-28,2000,220993.1693989071,12978954.704918033,17.71,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-29,2000,221511.37704918036,12979823.278688524,17.79,0.0,2459676.0,502757.0,1956918.0,18.59
2000-06-30,2000,222029.58469945355,12980691.852459015,18.15,8.0,2459676.0,502757.0,1956918.0,18.59
2000-07-01,2000,222547.7923497268,12981560.426229509,15.26,48.0,2459676.0,502757.0,1956918.0,18.59
2000-07-02,2000,223066.0,12982429.0,14.74,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-03,2000,223584.2076502732,12983297.573770491,15.52,14.0,2459676.0,502757.0,1956918.0,18.59
2000-07-04,2000,224102.41530054645,12984166.147540985,15.42,18.0,2459676.0,502757.0,1956918.0,18.59
2000-07-05,2000,224620.62295081967,12985034.721311476,15.03,4.0,2459676.0,502757.0,1956918.0,18.59
2000-07-06,2000,225138.8306010929,12985903.295081967,14.73,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-07,2000,225657.0382513661,12986771.86885246,15.08,14.4,2459676.0,502757.0,1956918.0,18.59
2000-07-08,2000,226175.2459016393,12987640.44262295,14.99,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-09,2000,226693.45355191256,12988509.016393442,14.56,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-10,2000,227211.6612021858,12989377.590163937,15.21,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-11,2000,227729.868852459,12990246.163934426,14.58,12.4,2459676.0,502757.0,1956918.0,18.59
2000-07-12,2000,228248.07650273223,12991114.737704918,15.15,62.0,2459676.0,502757.0,1956918.0,18.59
2000-07-13,2000,228766.28415300543,12991983.31147541,15.36,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-14,2000,229284.49180327868,12992851.885245902,14.62,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-15,2000,229802.6994535519,12993720.459016394,14.93,6.0,2459676.0,502757.0,1956918.0,18.59
2000-07-16,2000,230320.90710382516,12994589.032786883,14.86,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-17,2000,230839.11475409835,12995457.606557377,15.31,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-18,2000,231357.3224043716,12996326.180327868,14.96,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-19,2000,231875.5300546448,12997194.75409836,14.96,4.0,2459676.0,502757.0,1956918.0,18.59
2000-07-20,2000,232393.737704918,12998063.327868853,15.55,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-21,2000,232911.94535519124,12998931.901639344,14.61,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-22,2000,233430.1530054645,12999800.475409836,14.93,55.0,2459676.0,502757.0,1956918.0,18.59
2000-07-23,2000,233948.3606557377,13000669.049180329,14.78,4.2,2459676.0,502757.0,1956918.0,18.59
2000-07-24,2000,234466.56830601091,13001537.62295082,15.31,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-25,2000,234984.77595628417,13002406.196721312,15.56,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-26,2000,235502.9836065574,13003274.770491805,15.23,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-27,2000,236021.1912568306,13004143.344262294,14.8,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-28,2000,236539.39890710384,13005011.918032788,14.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-29,2000,237057.60655737703,13005880.49180328,14.8,0.0,2459676.0,502757.0,1956918.0,18.59
2000-07-30,2000,237575.81420765028,13006749.06557377,14.83,0.0,2459676.0,502757.0,1956918.0,18.59
